t,x1,y1,x2,y2
5.8961111111,-484.7726668028,81.7617354947,-284.8785666888,-9.4917053749
5.9296,-469.9607092328,150.2670392556,-281.3876575979,-37.4189781022
5.9631,-440.336794093,213.2178589277,-276.1512939615,-67.0917053749
5.9966,-407.0098895607,268.7626998149,-267.4240212342,-96.7644326476
6.0301,-364.4255115472,322.4560460058,-255.2058394161,-122.9462508295
6.0636,-318.1381441412,372.4464028043,-242.9876575979,-149.1280690113
6.0970888889,-258.8903138616,411.3277914253,-225.5331121433,-171.8189781022
6.1305888889,-190.3850101007,446.5061906538,-211.5694757797,-192.7644326476
6.1641111111,-125.3264086269,467.3696376805,-192.3694757797,-215.4553417386
6.1976,-51.5229078828,477.9816004899,-167.9331121433,-234.6553417386
6.2311,24.388374663,479.8330951861,-145.2422030524,-248.6189781022
6.2646,91.0421837276,472.4271164012,-119.0603848706,-262.5826144658
6.2981111111,161.3989821847,450.2091800463,-92.8785666888,-273.0553417386
6.3316111111,229.9042859456,418.7337702103,-66.696748507,-280.0371599204
6.3651111111,289.1521162252,378.000886893,-38.7694757797,-283.5280690113
6.3986111111,346.5484518086,328.0105300945,-7.3512939615,-287.0189781022
6.4321111111,389.1328298221,272.4656892074,18.8305242203,-288.7644326476
6.4656111111,422.4597343544,216.9208483202,46.7577969476,-285.2735235567
6.4991111111,450.232154798,153.9700286481,74.6850696749,-278.2917053749
6.5326111111,470.5985964567,87.3162195834,100.8668878567,-269.5644326476
6.5661111111,476.1530805454,20.6624105188,125.303251493,-264.3280690113
6.5996111111,474.3015858491,-45.9913985458,147.9941605839,-248.6189781022
6.6331111111,463.1926176717,-114.4967023066,172.4305242203,-236.400796284
6.6666222222,442.8261760131,-171.89303789,196.8668878567,-215.4553417386
6.7001222222,413.2022608732,-232.9923628659,216.0668878567,-198.000796284
6.7336111111,378.0238616447,-286.6857090569,231.7759787658,-177.0553417386
6.7671222222,337.2909783274,-332.9730764628,245.7396151294,-154.3644326476
6.8006222222,287.300621529,-377.4089491726,261.4487060385,-131.6735235567
6.8341111111,233.607275338,-410.7358537049,268.4305242203,-105.4917053749
6.8676222222,176.2109397546,-440.3597688447,275.4123424021,-81.0553417386
6.9011222222,118.8146041712,-458.8747158071,284.1396151294,-56.6189781022
6.9346222222,52.1607951066,-471.8351786808,287.6305242203,-30.4371599204
6.9681222222,-7.087035173,-471.8351786808,289.3759787658,-6.000796284
7.0016222222,-62.6318760602,-468.1321892883,287.6305242203,21.9264764433
7.0351222222,-121.8797063399,-457.0232211109,284.1396151294,48.1082946251
7.0686222222,-179.2760419233,-436.6567794522,278.903251493,72.5446582614
7.1021444444,-234.8208828105,-412.5873484011,268.4305242203,96.9810218978
7.1356222222,-286.6627343052,-382.9634332613,257.9577969476,119.6719309887
7.1691222222,-332.9501017111,-342.230549944,245.7396151294,142.3628400796
7.2026222222,-377.3859744209,-299.6461719305,231.7759787658,165.0537491705
7.2361222222,-414.4158683457,-249.6558151321,216.0668878567,185.999203716
7.2696222222,-444.0397834855,-199.6654583336,198.6123424021,201.7082946251
7.3031222222,-466.2577198404,-144.1206174465,175.9214333112,222.6537491705
7.3366333333,-482.9211721065,-86.724281863,156.7214333112,234.8719309887
7.3701333333,-490.3271508915,-25.6249568871,134.0305242203,248.8355673524
7.4036222222,-490.3271508915,35.4743680887,111.3396151294,259.3082946251
7.4371333333,-481.0696774103,92.8707036722,86.903251493,266.2901128069
7.4706333333,-466.2577198404,153.9700286481,58.9759787658,275.0173855342
7.5041333333,-442.1882887893,209.5148695352,34.5396151294,281.999203716
7.5376333333,-412.5643736494,257.6537316374,10.103251493,281.999203716
7.5711333333,-375.5344797246,309.4955831321,-17.8240212342,281.999203716
7.6046333333,-327.3956176224,353.9314558419,-42.2603848706,280.2537491705
7.6381333333,-279.2567555202,392.8128444629,-68.4422030524,273.2719309887
7.6716333333,-227.4149040255,422.4367596027,-92.8785666888,264.5446582614
7.7051444444,-168.1670737459,446.5061906538,-119.0603848706,257.5628400796
7.7386333333,-112.6222328587,465.0211376162,-141.7512939615,245.3446582614
7.7721333333,-44.1169290978,472.4271164012,-162.696748507,227.8901128069
7.8056333333,15.1309011818,476.1301057937,-183.6422030524,212.1810218978
7.8391333333,81.7847102464,470.5756217049,-201.096748507,194.7264764433
7.8726333333,141.0325405261,453.9121694388,-218.5512939615,177.2719309887
7.9061444444,202.131865502,431.6942330839,-237.7512939615,154.5810218978
7.9396444444,255.8252116929,400.2188232479,-248.2240212342,133.6355673524
7.9731444444,305.8155684914,361.3374346268,-263.9331121433,110.9446582614
8.0066444444,348.3999465049,315.0500672209,-270.9149303252,84.7628400796
8.0401444444,381.7268510372,272.4656892074,-279.6422030524,60.3264764433
8.0736444444,416.9052502657,218.7723430164,-281.3876575979,35.8901128069
8.1071444444,437.2716919243,161.376007433,-284.8785666888,6.2173855342
8.1406444444,450.232154798,107.6826612421,-284.8785666888,-19.9644326476
8.1741444444,457.638133583,42.8803468737,-283.1331121433,-44.400796284
8.2076444444,453.9351441905,-12.6644940135,-277.896748507,-67.0917053749
8.2411444444,448.3806601018,-70.0608295969,-270.9149303252,-93.2735235567
8.2746444444,433.5687025319,-125.6056704841,-260.4422030524,-117.7098871931
8.3081444444,415.0537555695,-177.4475219788,-249.9694757797,-140.400796284
8.3416444444,389.1328298221,-227.4378787772,-236.0058394161,-163.0917053749
8.3751444444,355.8059252898,-273.7252461832,-220.296748507,-185.7826144658
8.4086444444,320.6275260613,-316.3096241967,-202.8422030524,-203.2371599204
8.4421444444,281.7461374403,-351.4880234252,-185.3876575979,-218.9462508295
8.4756444444,235.4587700343,-382.9634332613,-166.1876575979,-238.1462508295
8.5091444444,187.3199079321,-405.1813696162,-145.2422030524,-250.3644326476
8.5426555556,137.3295511336,-425.5478112748,-122.5512939615,-264.3280690113
8.5761555556,85.4876996389,-442.211263541,-99.8603848706,-274.800796284
8.6096555556,28.0913640555,-451.4687370222,-71.9331121433,-280.0371599204
8.6431555556,-12.6415192618,-457.0232211109,-49.2422030524,-285.2735235567
8.6766444444,-29.3049715279,-469.9836839845,-26.5512939615,-287.0189781022
8.7101444444,-53.374402579,-473.686673377,3.1214333112,-292.2553417386
8.7436555556,-77.4438336301,-471.8351786808,24.0668878567,-287.0189781022
8.7771555556,-108.9192434662,-447.7657476297,48.503251493,-285.2735235567
8.8106555556,-134.8401692136,-427.399305971,72.9396151294,-280.0371599204
8.8441555556,-155.2066108722,-407.0328643124,99.1214333112,-274.800796284
8.8776777778,-177.4245472271,-379.2604438688,118.3214333112,-264.3280690113
8.9111555556,-195.9394941894,-345.9335393365,142.7577969476,-253.8553417386
8.9446555556,-212.6029464556,-312.6066348042,161.9577969476,-241.6371599204
8.9781555556,-227.4149040255,-268.1707620945,181.1577969476,-227.6735235567
9.0116555556,-234.8208828105,-220.0318999923,200.3577969476,-210.2189781022
9.0451555556,-238.5238722029,-173.7445325863,214.3214333112,-192.7644326476
9.0786555556,-236.6723775067,-125.6056704841,231.7759787658,-175.3098871931
9.1121555556,-229.2663987217,-79.3183030781,245.7396151294,-156.1098871931
9.1456555556,-225.5634093293,-36.7339250646,256.2123424021,-133.4189781022
9.1791555556,-218.1574305443,-33.0309356721,268.4305242203,-114.2189781022
9.2126555556,-192.236504797,-36.7339250646,275.4123424021,-91.5280690113
9.2461666667,-170.0185684421,-34.8824303683,282.3941605839,-68.8371599204
9.2796666667,-162.6125896571,-33.0309356721,285.8850696749,-47.8917053749
9.3131666667,-166.3155790496,-31.1794409759,287.6305242203,-26.9462508295
9.3466666667,-173.7215578346,-29.3279462796,289.3759787658,-2.5098871931
9.3801666667,-188.5335154045,-25.6249568871,287.6305242203,21.9264764433
9.4136666667,-199.6424835819,-38.5854197608,285.8850696749,42.8719309887
